run_idx,step,action,new_item,score,inventory_size,ingredients,final_reward,domain
0,0,"('frog', 'bee')","('[frog]-[bee]', 5)",5,5,"[('octopus', 0), ('shark', 0), ('[frog]-[bee]', 5)]",100,animals
0,1,"('growth serum', '[frog]-[bee]')","('[growth serum]-[[frog]-[bee]]', 15)",15,5,"[('octopus', 0), ('shark', 0), ('[growth serum]-[[frog]-[bee]]', 15)]",100,animals
0,2,"('growth serum', '[growth serum]-[[frog]-[bee]]')","('[growth serum]-[[growth serum]-[[frog]-[bee]]]', 25)",25,5,"[('octopus', 0), ('shark', 0), ('[growth serum]-[[growth serum]-[[frog]-[bee]]]', 25)]",100,animals
0,3,"('shark', '[growth serum]-[[growth serum]-[[frog]-[bee]]]')","('[shark]-[[growth serum]-[[growth serum]-[[frog]-[bee]]]]', 30)",30,4,"[('octopus', 0), ('[shark]-[[growth serum]-[[growth serum]-[[frog]-[bee]]]]', 30)]",100,animals
0,4,"('growth serum', '[shark]-[[growth serum]-[[growth serum]-[[frog]-[bee]]]]')","('[growth serum]-[[shark]-[[growth serum]-[[growth serum]-[[frog]-[bee]]]]]', 55)",55,4,"[('octopus', 0), ('[growth serum]-[[shark]-[[growth serum]-[[growth serum]-[[frog]-[bee]]]]]', 55)]",100,animals
0,5,"('mutation catalyst', '[growth serum]-[[shark]-[[growth serum]-[[growth serum]-[[frog]-[bee]]]]]')","('[mutation catalyst]-[[growth serum]-[[shark]-[[growth serum]-[[growth serum]-[[frog]-[bee]]]]]]', 10)",10,4,"[('octopus', 0), ('[mutation catalyst]-[[growth serum]-[[shark]-[[growth serum]-[[growth serum]-[[frog]-[bee]]]]]]', 10)]",100,animals
0,6,"('mutation catalyst', '[mutation catalyst]-[[growth serum]-[[shark]-[[growth serum]-[[growth serum]-[[frog]-[bee]]]]]]')","('[mutation catalyst]-[[mutation catalyst]-[[growth serum]-[[shark]-[[growth serum]-[[growth serum]-[[frog]-[bee]]]]]]]', 100)",100,4,"[('octopus', 0), ('[mutation catalyst]-[[mutation catalyst]-[[growth serum]-[[shark]-[[growth serum]-[[growth serum]-[[frog]-[bee]]]]]]]', 100)]",100,animals
0,7,,,100,4,"[('octopus', 0), ('[mutation catalyst]-[[mutation catalyst]-[[growth serum]-[[shark]-[[growth serum]-[[growth serum]-[[frog]-[bee]]]]]]]', 100)]",100,animals
1,0,"('trout', 'bee')","('[trout]-[bee]', 5)",5,5,"[('snake', 0), ('giraffe', 0), ('[trout]-[bee]', 5)]",100,animals
1,1,"('growth serum', '[trout]-[bee]')","('[growth serum]-[[trout]-[bee]]', 15)",15,5,"[('snake', 0), ('giraffe', 0), ('[growth serum]-[[trout]-[bee]]', 15)]",100,animals
