run_idx,step,action,new_item,score,inventory_size,ingredients,final_reward,domain
0,0,"('pineapple', 'wheat')","('[pineapple]-[wheat]', 20)",20,8,"[('onion', 0), ('rice', 0), ('raw meat', 0), ('[pineapple]-[wheat]', 20)]",130,cooking
0,1,"('salt', '[pineapple]-[wheat]')","('[salt]-[[pineapple]-[wheat]]', 60)",60,8,"[('onion', 0), ('rice', 0), ('raw meat', 0), ('[salt]-[[pineapple]-[wheat]]', 60)]",130,cooking
0,2,"('knife', 'onion')","('[knife]-[onion]', 15)",60,8,"[('rice', 0), ('raw meat', 0), ('[salt]-[[pineapple]-[wheat]]', 60), ('[knife]-[onion]', 15)]",130,cooking
0,3,"('[salt]-[[pineapple]-[wheat]]', '[knife]-[onion]')","('[[salt]-[[pineapple]-[wheat]]]-[[knife]-[onion]]', 95)",95,7,"[('rice', 0), ('raw meat', 0), ('[[salt]-[[pineapple]-[wheat]]]-[[knife]-[onion]]', 95)]",130,cooking
0,4,"('salt', 'rice')","('[salt]-[rice]', 20)",95,7,"[('raw meat', 0), ('[[salt]-[[pineapple]-[wheat]]]-[[knife]-[onion]]', 95), ('[salt]-[rice]', 20)]",130,cooking
0,5,"('knife', '[salt]-[rice]')","('[knife]-[[salt]-[rice]]', 10)",95,7,"[('raw meat', 0), ('[[salt]-[[pineapple]-[wheat]]]-[[knife]-[onion]]', 95), ('[knife]-[[salt]-[rice]]', 10)]",130,cooking
0,6,"('water', '[knife]-[[salt]-[rice]]')","('[water]-[[knife]-[[salt]-[rice]]]', 10)",95,7,"[('raw meat', 0), ('[[salt]-[[pineapple]-[wheat]]]-[[knife]-[onion]]', 95), ('[water]-[[knife]-[[salt]-[rice]]]', 10)]",130,cooking
0,7,"('stove', '[water]-[[knife]-[[salt]-[rice]]]')","('[stove]-[[water]-[[knife]-[[salt]-[rice]]]]', 40)",95,7,"[('raw meat', 0), ('[[salt]-[[pineapple]-[wheat]]]-[[knife]-[onion]]', 95), ('[stove]-[[water]-[[knife]-[[salt]-[rice]]]]', 40)]",130,cooking
0,8,"('stove', 'raw meat')","('[stove]-[raw meat]', 25)",95,7,"[('[[salt]-[[pineapple]-[wheat]]]-[[knife]-[onion]]', 95), ('[stove]-[[water]-[[knife]-[[salt]-[rice]]]]', 40), ('[stove]-[raw meat]', 25)]",130,cooking
0,9,"('salt', '[stove]-[raw meat]')","('[salt]-[[stove]-[raw meat]]', 45)",95,7,"[('[[salt]-[[pineapple]-[wheat]]]-[[knife]-[onion]]', 95), ('[stove]-[[water]-[[knife]-[[salt]-[rice]]]]', 40), ('[salt]-[[stove]-[raw meat]]', 45)]",130,cooking
0,10,"('[[salt]-[[pineapple]-[wheat]]]-[[knife]-[onion]]', '[salt]-[[stove]-[raw meat]]')","('[[[salt]-[[pineapple]-[wheat]]]-[[knife]-[onion]]]-[[salt]-[[stove]-[raw meat]]]', 130)",130,6,"[('[stove]-[[water]-[[knife]-[[salt]-[rice]]]]', 40), ('[[[salt]-[[pineapple]-[wheat]]]-[[knife]-[onion]]]-[[salt]-[[stove]-[raw meat]]]', 130)]",130,cooking
0,11,"('knife', '[stove]-[[water]-[[knife]-[[salt]-[rice]]]]')","('[stove]-[[water]-[[knife]-[[salt]-[rice]]]]', 40)",130,6,"[('[[[salt]-[[pineapple]-[wheat]]]-[[knife]-[onion]]]-[[salt]-[[stove]-[raw meat]]]', 130), ('[stove]-[[water]-[[knife]-[[salt]-[rice]]]]', 40)]",130,cooking
0,12,"('water', '[stove]-[[water]-[[knife]-[[salt]-[rice]]]]')","('[water]-[[stove]-[[water]-[[knife]-[[salt]-[rice]]]]]', 10)",130,6,"[('[[[salt]-[[pineapple]-[wheat]]]-[[knife]-[onion]]]-[[salt]-[[stove]-[raw meat]]]', 130), ('[water]-[[stove]-[[water]-[[knife]-[[salt]-[rice]]]]]', 10)]",130,cooking
0,13,"('knife', '[water]-[[stove]-[[water]-[[knife]-[[salt]-[rice]]]]]')","('[water]-[[stove]-[[water]-[[knife]-[[salt]-[rice]]]]]', 10)",130,6,"[('[[[salt]-[[pineapple]-[wheat]]]-[[knife]-[onion]]]-[[salt]-[[stove]-[raw meat]]]', 130), ('[water]-[[stove]-[[water]-[[knife]-[[salt]-[rice]]]]]', 10)]",130,cooking
0,14,,,130,6,"[('[[[salt]-[[pineapple]-[wheat]]]-[[knife]-[onion]]]-[[salt]-[[stove]-[raw meat]]]', 130), ('[water]-[[stove]-[[water]-[[knife]-[[salt]-[rice]]]]]', 10)]",130,cooking
1,0,"('carrot', 'butter')","('[carrot]-[butter]', 20)",20,8,"[('onion', 0), ('wheat', 0), ('banana', 0), ('[carrot]-[butter]', 20)]",160,cooking
1,1,"('salt', '[carrot]-[butter]')","('[salt]-[[carrot]-[butter]]', 60)",60,8,"[('onion', 0), ('wheat', 0), ('banana', 0), ('[salt]-[[carrot]-[butter]]', 60)]",160,cooking
1,2,"('salt', 'onion')","('[salt]-[onion]', 20)",60,8,"[('wheat', 0), ('banana', 0), ('[salt]-[[carrot]-[butter]]', 60), ('[salt]-[onion]', 20)]",160,cooking
1,3,"('[salt]-[[carrot]-[butter]]', '[salt]-[onion]')","('[[salt]-[[carrot]-[butter]]]-[[salt]-[onion]]', 100)",100,7,"[('wheat', 0), ('banana', 0), ('[[salt]-[[carrot]-[butter]]]-[[salt]-[onion]]', 100)]",160,cooking
1,4,"('knife', '[[salt]-[[carrot]-[butter]]]-[[salt]-[onion]]')","('[knife]-[[[salt]-[[carrot]-[butter]]]-[[salt]-[onion]]]', 120)",120,7,"[('wheat', 0), ('banana', 0), ('[knife]-[[[salt]-[[carrot]-[butter]]]-[[salt]-[onion]]]', 120)]",160,cooking
1,5,"('stove', '[knife]-[[[salt]-[[carrot]-[butter]]]-[[salt]-[onion]]]')","('[stove]-[[knife]-[[[salt]-[[carrot]-[butter]]]-[[salt]-[onion]]]]', 160)",160,7,"[('wheat', 0), ('banana', 0), ('[stove]-[[knife]-[[[salt]-[[carrot]-[butter]]]-[[salt]-[onion]]]]', 160)]",160,cooking
1,6,"('water', 'wheat')","('[water]-[wheat]', 0)",160,7,"[('banana', 0), ('[stove]-[[knife]-[[[salt]-[[carrot]-[butter]]]-[[salt]-[onion]]]]', 160), ('[water]-[wheat]', 0)]",160,cooking
1,7,"('stove', '[water]-[wheat]')","('[stove]-[[water]-[wheat]]', 30)",160,7,"[('banana', 0), ('[stove]-[[knife]-[[[salt]-[[carrot]-[butter]]]-[[salt]-[onion]]]]', 160), ('[stove]-[[water]-[wheat]]', 30)]",160,cooking
1,8,"('salt', '[stove]-[[water]-[wheat]]')","('[salt]-[[stove]-[[water]-[wheat]]]', 50)",160,7,"[('banana', 0), ('[stove]-[[knife]-[[[salt]-[[carrot]-[butter]]]-[[salt]-[onion]]]]', 160), ('[salt]-[[stove]-[[water]-[wheat]]]', 50)]",160,cooking
1,9,"('salt', 'banana')","('[salt]-[banana]', 20)",160,7,"[('[stove]-[[knife]-[[[salt]-[[carrot]-[butter]]]-[[salt]-[onion]]]]', 160), ('[salt]-[[stove]-[[water]-[wheat]]]', 50), ('[salt]-[banana]', 20)]",160,cooking
1,10,"('knife', '[stove]-[[knife]-[[[salt]-[[carrot]-[butter]]]-[[salt]-[onion]]]]')","('[knife]-[[stove]-[[knife]-[[[salt]-[[carrot]-[butter]]]-[[salt]-[onion]]]]]', 160)",160,7,"[('[salt]-[[stove]-[[water]-[wheat]]]', 50), ('[salt]-[banana]', 20), ('[knife]-[[stove]-[[knife]-[[[salt]-[[carrot]-[butter]]]-[[salt]-[onion]]]]]', 160)]",160,cooking
1,11,,,160,7,"[('[salt]-[[stove]-[[water]-[wheat]]]', 50), ('[salt]-[banana]', 20), ('[knife]-[[stove]-[[knife]-[[[salt]-[[carrot]-[butter]]]-[[salt]-[onion]]]]]', 160)]",160,cooking
2,0,"('pineapple', 'wheat')","('[pineapple]-[wheat]', 20)",20,8,"[('butter', 0), ('mushroom', 0), ('cheese', 0), ('[pineapple]-[wheat]', 20)]",80,cooking
2,1,"('salt', '[pineapple]-[wheat]')","('[salt]-[[pineapple]-[wheat]]', 60)",60,8,"[('butter', 0), ('mushroom', 0), ('cheese', 0), ('[salt]-[[pineapple]-[wheat]]', 60)]",80,cooking
2,2,"('mushroom', '[salt]-[[pineapple]-[wheat]]')","('[mushroom]-[[salt]-[[pineapple]-[wheat]]]', 80)",80,7,"[('butter', 0), ('cheese', 0), ('[mushroom]-[[salt]-[[pineapple]-[wheat]]]', 80)]",80,cooking
2,3,"('salt', 'butter')","('[salt]-[butter]', 20)",80,7,"[('cheese', 0), ('[mushroom]-[[salt]-[[pineapple]-[wheat]]]', 80), ('[salt]-[butter]', 20)]",80,cooking
2,4,"('stove', '[salt]-[butter]')","('[stove]-[[salt]-[butter]]', 10)",80,7,"[('cheese', 0), ('[mushroom]-[[salt]-[[pineapple]-[wheat]]]', 80), ('[stove]-[[salt]-[butter]]', 10)]",80,cooking
2,5,"('salt', 'cheese')","('[salt]-[cheese]', 20)",80,7,"[('[mushroom]-[[salt]-[[pineapple]-[wheat]]]', 80), ('[stove]-[[salt]-[butter]]', 10), ('[salt]-[cheese]', 20)]",80,cooking
2,6,"('water', '[salt]-[cheese]')","('[water]-[[salt]-[cheese]]', 5)",80,7,"[('[mushroom]-[[salt]-[[pineapple]-[wheat]]]', 80), ('[stove]-[[salt]-[butter]]', 10), ('[water]-[[salt]-[cheese]]', 5)]",80,cooking
2,7,,,80,7,"[('[mushroom]-[[salt]-[[pineapple]-[wheat]]]', 80), ('[stove]-[[salt]-[butter]]', 10), ('[water]-[[salt]-[cheese]]', 5)]",80,cooking
3,0,"('apple', 'wheat')","('[apple]-[wheat]', 20)",20,8,"[('cheese', 0), ('lettuce', 0), ('potato', 0), ('[apple]-[wheat]', 20)]",100,cooking
3,1,"('salt', '[apple]-[wheat]')","('[salt]-[[apple]-[wheat]]', 60)",60,8,"[('cheese', 0), ('lettuce', 0), ('potato', 0), ('[salt]-[[apple]-[wheat]]', 60)]",100,cooking
3,2,"('potato', '[salt]-[[apple]-[wheat]]')","('[potato]-[[salt]-[[apple]-[wheat]]]', 80)",80,7,"[('cheese', 0), ('lettuce', 0), ('[potato]-[[salt]-[[apple]-[wheat]]]', 80)]",100,cooking
3,3,"('salt', 'lettuce')","('[salt]-[lettuce]', 20)",80,7,"[('cheese', 0), ('[potato]-[[salt]-[[apple]-[wheat]]]', 80), ('[salt]-[lettuce]', 20)]",100,cooking
3,4,"('knife', '[salt]-[lettuce]')","('[knife]-[[salt]-[lettuce]]', 35)",80,7,"[('cheese', 0), ('[potato]-[[salt]-[[apple]-[wheat]]]', 80), ('[knife]-[[salt]-[lettuce]]', 35)]",100,cooking
3,5,"('stove', '[knife]-[[salt]-[lettuce]]')","('[stove]-[[knife]-[[salt]-[lettuce]]]', 60)",80,7,"[('cheese', 0), ('[potato]-[[salt]-[[apple]-[wheat]]]', 80), ('[stove]-[[knife]-[[salt]-[lettuce]]]', 60)]",100,cooking
3,6,"('salt', 'cheese')","('[salt]-[cheese]', 20)",80,7,"[('[potato]-[[salt]-[[apple]-[wheat]]]', 80), ('[stove]-[[knife]-[[salt]-[lettuce]]]', 60), ('[salt]-[cheese]', 20)]",100,cooking
3,7,"('knife', '[stove]-[[knife]-[[salt]-[lettuce]]]')","('[stove]-[[knife]-[[salt]-[lettuce]]]', 60)",80,7,"[('[potato]-[[salt]-[[apple]-[wheat]]]', 80), ('[salt]-[cheese]', 20), ('[stove]-[[knife]-[[salt]-[lettuce]]]', 60)]",100,cooking
3,8,"('[salt]-[cheese]', '[stove]-[[knife]-[[salt]-[lettuce]]]')","('[[salt]-[cheese]]-[[stove]-[[knife]-[[salt]-[lettuce]]]]', 100)",100,6,"[('[potato]-[[salt]-[[apple]-[wheat]]]', 80), ('[[salt]-[cheese]]-[[stove]-[[knife]-[[salt]-[lettuce]]]]', 100)]",100,cooking
3,9,"('knife', '[potato]-[[salt]-[[apple]-[wheat]]]')","('[knife]-[[potato]-[[salt]-[[apple]-[wheat]]]]', 75)",100,6,"[('[[salt]-[cheese]]-[[stove]-[[knife]-[[salt]-[lettuce]]]]', 100), ('[knife]-[[potato]-[[salt]-[[apple]-[wheat]]]]', 75)]",100,cooking
