run_idx,step,action,new_item,score,inventory_size,ingredients,final_reward,domain
0,0,"('scissors', 'newspaper')","('[scissors]-[newspaper]', 20)",20,9,"[('sunflower', 0), ('rock', 0), ('flower', 0), ('paper', 0), ('[scissors]-[newspaper]', 20)]",150,decorations
0,1,"('scissors', 'paper')","('[scissors]-[paper]', 20)",20,9,"[('sunflower', 0), ('rock', 0), ('flower', 0), ('[scissors]-[newspaper]', 20), ('[scissors]-[paper]', 20)]",150,decorations
0,2,"('pen', '[scissors]-[paper]')","('[pen]-[[scissors]-[paper]]', 40)",40,9,"[('sunflower', 0), ('rock', 0), ('flower', 0), ('[scissors]-[newspaper]', 20), ('[pen]-[[scissors]-[paper]]', 40)]",150,decorations
0,3,"('pen', '[scissors]-[newspaper]')","('[pen]-[[scissors]-[newspaper]]', 40)",40,9,"[('sunflower', 0), ('rock', 0), ('flower', 0), ('[pen]-[[scissors]-[paper]]', 40), ('[pen]-[[scissors]-[newspaper]]', 40)]",150,decorations
0,4,"('[pen]-[[scissors]-[paper]]', '[pen]-[[scissors]-[newspaper]]')","('[[pen]-[[scissors]-[paper]]]-[[pen]-[[scissors]-[newspaper]]]', 80)",80,8,"[('sunflower', 0), ('rock', 0), ('flower', 0), ('[[pen]-[[scissors]-[paper]]]-[[pen]-[[scissors]-[newspaper]]]', 80)]",150,decorations
0,5,"('paint', '[[pen]-[[scissors]-[paper]]]-[[pen]-[[scissors]-[newspaper]]]')","('[paint]-[[[pen]-[[scissors]-[paper]]]-[[pen]-[[scissors]-[newspaper]]]]', 110)",110,8,"[('sunflower', 0), ('rock', 0), ('flower', 0), ('[paint]-[[[pen]-[[scissors]-[paper]]]-[[pen]-[[scissors]-[newspaper]]]]', 110)]",150,decorations
0,6,"('scissors', 'sunflower')","('[scissors]-[sunflower]', 20)",110,8,"[('rock', 0), ('flower', 0), ('[paint]-[[[pen]-[[scissors]-[paper]]]-[[pen]-[[scissors]-[newspaper]]]]', 110), ('[scissors]-[sunflower]', 20)]",150,decorations
0,7,"('frame', '[scissors]-[sunflower]')","('[frame]-[[scissors]-[sunflower]]', 45)",110,8,"[('rock', 0), ('flower', 0), ('[paint]-[[[pen]-[[scissors]-[paper]]]-[[pen]-[[scissors]-[newspaper]]]]', 110), ('[frame]-[[scissors]-[sunflower]]', 45)]",150,decorations
0,8,"('[paint]-[[[pen]-[[scissors]-[paper]]]-[[pen]-[[scissors]-[newspaper]]]]', '[frame]-[[scissors]-[sunflower]]')","('[[paint]-[[[pen]-[[scissors]-[paper]]]-[[pen]-[[scissors]-[newspaper]]]]]-[[frame]-[[scissors]-[sunflower]]]', 150)",150,7,"[('rock', 0), ('flower', 0), ('[[paint]-[[[pen]-[[scissors]-[paper]]]-[[pen]-[[scissors]-[newspaper]]]]]-[[frame]-[[scissors]-[sunflower]]]', 150)]",150,decorations
0,9,"('frame', 'rock')","('[frame]-[rock]', 25)",150,7,"[('flower', 0), ('[[paint]-[[[pen]-[[scissors]-[paper]]]-[[pen]-[[scissors]-[newspaper]]]]]-[[frame]-[[scissors]-[sunflower]]]', 150), ('[frame]-[rock]', 25)]",150,decorations
